date,open,high,low,close,pre_close,change,pct_chg,volume_hands,volume_shares,amount_thousand_yuan,raw_open,raw_high,raw_low,raw_close,raw_pre_close,raw_change,raw_pct_chg,adj_factor
20250704,10.85,11.0,10.8,10.87,10.84,0.03,0.2768,54142.02,5414202.0,59010.474,10.85,11.0,10.8,10.87,10.84,0.03,0.2768,1.214
20250707,10.81,11.07,10.74,11.07,10.87,0.2,1.8399,45327.01,4532701.0,49265.96,10.81,11.07,10.74,11.07,10.87,0.2,1.8399,1.214
20250708,11.05,11.47,11.0,11.23,11.07,0.16,1.4453,78358.0,7835800.0,88142.015,11.05,11.47,11.0,11.23,11.07,0.16,1.4453,1.214
20250709,11.16,11.23,11.03,11.15,11.23,-0.08,-0.7124,44583.0,4458300.0,49633.238,11.16,11.23,11.03,11.15,11.23,-0.08,-0.7124,1.214
20250710,11.16,11.21,11.01,11.08,11.15,-0.07,-0.6278,33197.0,3319700.0,36860.637,11.16,11.21,11.01,11.08,11.15,-0.07,-0.6278,1.214
20250711,11.14,11.65,11.06,11.6,11.08,0.52,4.6931,88562.0,8856200.0,100777.851,11.14,11.65,11.06,11.6,11.08,0.52,4.6931,1.214
20250714,11.47,11.75,11.46,11.56,11.6,-0.04,-0.3448,64249.0,6424900.0,74526.177,11.47,11.75,11.46,11.56,11.6,-0.04,-0.3448,1.214
20250715,11.5,11.59,11.15,11.26,11.56,-0.3,-2.5952,60750.99,6075099.0,68571.593,11.5,11.59,11.15,11.26,11.56,-0.3,-2.5952,1.214
20250716,11.27,11.44,11.16,11.21,11.26,-0.05,-0.444,38692.0,3869200.0,43652.726,11.27,11.44,11.16,11.21,11.26,-0.05,-0.444,1.214
20250717,11.22,11.23,11.03,11.11,11.21,-0.1,-0.8921,41717.0,4171700.0,46366.494,11.22,11.23,11.03,11.11,11.21,-0.1,-0.8921,1.214
20250718,11.19,11.19,10.94,11.04,11.11,-0.07,-0.6301,36828.01,3682801.0,40575.769,11.19,11.19,10.94,11.04,11.11,-0.07,-0.6301,1.214
20250721,11.09,11.35,11.02,11.24,11.04,0.2,1.8116,52431.01,5243101.0,58767.951,11.09,11.35,11.02,11.24,11.04,0.2,1.8116,1.214
20250722,11.22,11.95,11.22,11.59,11.24,0.35,3.1139,103606.02,10360602.0,120699.687,11.22,11.95,11.22,11.59,11.24,0.35,3.1139,1.214
20250723,11.75,11.98,11.51,11.56,11.59,-0.03,-0.2588,88496.61,8849661.0,103543.838,11.75,11.98,11.51,11.56,11.59,-0.03,-0.2588,1.214
20250724,11.56,11.75,11.46,11.75,11.56,0.19,1.6436,51225.0,5122500.0,59609.279,11.56,11.75,11.46,11.75,11.56,0.19,1.6436,1.214
20250725,11.8,12.68,11.7,12.53,11.75,0.78,6.6383,158842.01,15884201.0,195487.162,11.8,12.68,11.7,12.53,11.75,0.78,6.6383,1.214
20250728,12.6,13.78,12.6,13.78,12.53,1.25,9.9761,41391.62,4139162.0000000005,56072.206,12.6,13.78,12.6,13.78,12.53,1.25,9.9761,1.214
20250729,14.61,15.16,13.68,13.8,13.78,0.02,0.1451,354608.61,35460861.0,504590.514,14.61,15.16,13.68,13.8,13.78,0.02,0.1451,1.214
20250730,13.58,13.78,12.97,13.05,13.8,-0.75,-5.4348,192035.01,19203501.0,254688.294,13.58,13.78,12.97,13.05,13.8,-0.75,-5.4348,1.214
20250731,13.1,13.88,13.1,13.73,13.05,0.68,5.2107,166701.01,16670101.0,225209.824,13.1,13.88,13.1,13.73,13.05,0.68,5.2107,1.214
20250801,13.66,14.09,13.66,13.81,13.73,0.08,0.5827,107918.72,10791872.0,149600.0,13.66,14.09,13.66,13.81,13.73,0.08,0.5827,1.214
20250804,13.78,13.84,13.2,13.72,13.81,-0.09,-0.6517,111021.66,11102166.0,149302.749,13.78,13.84,13.2,13.72,13.81,-0.09,-0.6517,1.214
20250805,13.94,13.98,13.51,13.73,13.72,0.01,0.0729,68367.0,6836700.0,93386.927,13.94,13.98,13.51,13.73,13.72,0.01,0.0729,1.214
20250806,13.74,14.18,13.71,14.15,13.73,0.42,3.059,105154.0,10515400.0,147215.06,13.74,14.18,13.71,14.15,13.73,0.42,3.059,1.214
20250807,15.48,15.48,12.74,12.74,14.15,-1.41,-9.9647,348942.35,34894235.0,465347.879,15.48,15.48,12.74,12.74,14.15,-1.41,-9.9647,1.214
20250808,11.98,12.25,11.47,11.48,12.74,-1.26,-9.8901,303309.01,30330901.0,351937.267,11.98,12.25,11.47,11.48,12.74,-1.26,-9.8901,1.214
20250811,11.27,11.67,11.27,11.52,11.48,0.04,0.3484,154891.11,15489110.999999998,178245.106,11.27,11.67,11.27,11.52,11.48,0.04,0.3484,1.214
20250812,11.5,11.5,11.12,11.3,11.52,-0.22,-1.9097,159483.43,15948343.0,179807.558,11.5,11.5,11.12,11.3,11.52,-0.22,-1.9097,1.214
20250813,11.3,11.34,11.09,11.12,11.3,-0.18,-1.5929,127932.34,12793234.0,142749.757,11.3,11.34,11.09,11.12,11.3,-0.18,-1.5929,1.214
20250814,11.11,11.12,10.81,10.83,11.12,-0.29,-2.6079,123227.01,12322701.0,134804.984,11.11,11.12,10.81,10.83,11.12,-0.29,-2.6079,1.214
20250815,10.89,10.89,10.67,10.74,10.83,-0.09,-0.831,116714.34,11671434.0,125281.11,10.89,10.89,10.67,10.74,10.83,-0.09,-0.831,1.214
20250818,10.81,10.99,10.8,10.93,10.74,0.19,1.7691,116743.01,11674301.0,127442.225,10.81,10.99,10.8,10.93,10.74,0.19,1.7691,1.214
20250819,11.08,11.08,10.83,10.9,10.93,-0.03,-0.2745,81638.62,8163862.0,89052.462,11.08,11.08,10.83,10.9,10.93,-0.03,-0.2745,1.214
20250820,10.92,10.97,10.6,10.8,10.9,-0.1,-0.9174,143991.0,14399100.0,155268.039,10.92,10.97,10.6,10.8,10.9,-0.1,-0.9174,1.214
20250821,10.81,10.95,10.76,10.91,10.8,0.11,1.0185,100013.15,10001315.0,108798.918,10.81,10.95,10.76,10.91,10.8,0.11,1.0185,1.214
20250822,10.91,10.91,10.75,10.88,10.91,-0.03,-0.275,92128.53,9212853.0,99691.528,10.91,10.91,10.75,10.88,10.91,-0.03,-0.275,1.214
20250825,11.51,11.97,11.51,11.97,10.88,1.09,10.0184,263731.66,26373165.999999996,313602.01,11.51,11.97,11.51,11.97,10.88,1.09,10.0184,1.214
20250826,12.04,12.38,11.8,12.3,11.97,0.33,2.7569,457963.83,45796383.0,553720.046,12.04,12.38,11.8,12.3,11.97,0.33,2.7569,1.214
20250827,12.2,12.2,11.59,11.6,12.3,-0.7,-5.6911,234238.19,23423819.0,278464.629,12.2,12.2,11.59,11.6,12.3,-0.7,-5.6911,1.214
20250828,11.46,11.66,10.84,11.24,11.6,-0.36,-3.1034,187476.1,18747610.0,210997.033,11.46,11.66,10.84,11.24,11.6,-0.36,-3.1034,1.214
20250829,11.33,11.75,11.07,11.68,11.24,0.44,3.9146,172944.01,17294401.0,198070.984,11.33,11.75,11.07,11.68,11.24,0.44,3.9146,1.214
20250901,11.55,11.62,11.4,11.44,11.68,-0.24,-2.0548,110134.03,11013403.0,126361.268,11.55,11.62,11.4,11.44,11.68,-0.24,-2.0548,1.214
20250902,11.4,11.4,10.95,11.13,11.44,-0.31,-2.7098,107427.01,10742701.0,119488.039,11.4,11.4,10.95,11.13,11.44,-0.31,-2.7098,1.214
20250903,11.11,11.22,10.8,10.82,11.13,-0.31,-2.7853,73430.0,7343000.0,81061.057,11.11,11.22,10.8,10.82,11.13,-0.31,-2.7853,1.214
20250904,10.82,10.88,10.3,10.44,10.82,-0.38,-3.512,114841.41,11484141.0,122094.138,10.82,10.88,10.3,10.44,10.82,-0.38,-3.512,1.214
20250905,10.48,10.63,10.32,10.6,10.44,0.16,1.5326,74146.11,7414611.0,77800.297,10.48,10.63,10.32,10.6,10.44,0.16,1.5326,1.214
20250908,10.7,10.79,10.61,10.77,10.6,0.17,1.6038,65482.0,6548200.0,70204.187,10.7,10.79,10.61,10.77,10.6,0.17,1.6038,1.214
20250909,10.85,11.08,10.72,10.98,10.77,0.21,1.9499,100314.0,10031400.0,109770.497,10.85,11.08,10.72,10.98,10.77,0.21,1.9499,1.214
20250910,11.1,11.11,10.88,10.96,10.98,-0.02,-0.1821,75129.69,7512969.0,82527.407,11.1,11.11,10.88,10.96,10.98,-0.02,-0.1821,1.214
20250911,10.97,11.02,10.75,11.0,10.96,0.04,0.365,67379.7,6737970.0,73264.724,10.97,11.02,10.75,11.0,10.96,0.04,0.365,1.214
20250912,10.99,11.06,10.84,10.86,11.0,-0.14,-1.2727,63583.71,6358371.0,69309.371,10.99,11.06,10.84,10.86,11.0,-0.14,-1.2727,1.214
20250915,10.85,10.85,10.64,10.71,10.86,-0.15,-1.3812,57715.18,5771518.0,61772.599,10.85,10.85,10.64,10.71,10.86,-0.15,-1.3812,1.214
20250916,10.8,11.02,10.7,10.98,10.71,0.27,2.521,73886.54,7388653.999999999,80434.669,10.8,11.02,10.7,10.98,10.71,0.27,2.521,1.214
20250917,11.05,11.05,10.88,10.92,10.98,-0.06,-0.5464,49720.0,4972000.0,54400.725,11.05,11.05,10.88,10.92,10.98,-0.06,-0.5464,1.214
20250918,10.93,10.97,10.65,10.7,10.92,-0.22,-2.0147,66943.51,6694350.999999999,72438.843,10.93,10.97,10.65,10.7,10.92,-0.22,-2.0147,1.214
20250919,10.76,10.77,10.59,10.63,10.7,-0.07,-0.6542,40974.0,4097400.0,43651.683,10.76,10.77,10.59,10.63,10.7,-0.07,-0.6542,1.214
20250922,10.63,10.63,10.4,10.44,10.63,-0.19,-1.7874,57721.0,5772100.0,60545.94,10.63,10.63,10.4,10.44,10.63,-0.19,-1.7874,1.214
20250923,10.48,10.48,9.99,10.19,10.44,-0.25,-2.3946,76236.0,7623600.0,77297.95,10.48,10.48,9.99,10.19,10.44,-0.25,-2.3946,1.214
20250924,10.21,10.6,10.15,10.58,10.19,0.39,3.8273,63977.01,6397701.0,66826.569,10.21,10.6,10.15,10.58,10.19,0.39,3.8273,1.214
20250925,10.56,10.65,10.43,10.47,10.58,-0.11,-1.0397,47198.01,4719801.0,49630.476,10.56,10.65,10.43,10.47,10.58,-0.11,-1.0397,1.214
20250926,10.47,10.57,10.34,10.47,10.47,0.0,0.0,39879.0,3987900.0,41836.269,10.47,10.57,10.34,10.47,10.47,0.0,0.0,1.214
20250929,10.45,10.55,10.25,10.52,10.47,0.05,0.4776,42651.0,4265100.0,44603.581,10.45,10.55,10.25,10.52,10.47,0.05,0.4776,1.214
20250930,10.52,10.65,10.48,10.62,10.52,0.1,0.9506,33523.0,3352300.0,35489.516,10.52,10.65,10.48,10.62,10.52,0.1,0.9506,1.214
20251009,10.76,10.76,10.42,10.51,10.62,-0.11,-1.0358,44385.1,4438510.0,46682.828,10.76,10.76,10.42,10.51,10.62,-0.11,-1.0358,1.214
20251010,10.47,10.73,10.45,10.69,10.51,0.18,1.7127,53601.01,5360101.0,56954.957,10.47,10.73,10.45,10.69,10.51,0.18,1.7127,1.214
20251013,10.3,10.62,10.05,10.61,10.69,-0.08,-0.7484,54755.0,5475500.0,57079.335,10.3,10.62,10.05,10.61,10.69,-0.08,-0.7484,1.214
20251014,10.69,10.72,10.47,10.55,10.61,-0.06,-0.5655,44046.0,4404600.0,46664.642,10.69,10.72,10.47,10.55,10.61,-0.06,-0.5655,1.214
20251015,10.55,11.02,10.51,11.0,10.55,0.45,4.2654,97213.02,9721302.0,105351.836,10.55,11.02,10.51,11.0,10.55,0.45,4.2654,1.214
20251016,11.0,11.24,10.69,10.76,11.0,-0.24,-2.1818,89099.0,8909900.0,96992.734,11.0,11.24,10.69,10.76,11.0,-0.24,-2.1818,1.214
20251017,10.88,10.88,10.6,10.64,10.76,-0.12,-1.1152,40045.99,4004599.0,42864.316,10.88,10.88,10.6,10.64,10.76,-0.12,-1.1152,1.214
20251020,10.62,10.71,10.55,10.71,10.64,0.07,0.6579,33473.0,3347300.0,35637.315,10.62,10.71,10.55,10.71,10.64,0.07,0.6579,1.214
20251021,10.71,10.9,10.64,10.9,10.71,0.19,1.774,43559.0,4355900.0,47101.879,10.71,10.9,10.64,10.9,10.71,0.19,1.774,1.214
20251022,10.84,11.05,10.83,10.94,10.9,0.04,0.367,40418.0,4041800.0,44273.737,10.84,11.05,10.83,10.94,10.9,0.04,0.367,1.214
20251023,10.91,11.06,10.84,11.06,10.94,0.12,1.0969,53333.0,5333300.0,58487.3,10.91,11.06,10.84,11.06,10.94,0.12,1.0969,1.214
20251024,11.02,11.28,11.0,11.21,11.06,0.15,1.3562,67006.53,6700653.0,74963.32,11.02,11.28,11.0,11.21,11.06,0.15,1.3562,1.214
