date,action,price,shares,amount,commission,cash_after,shares_after,atr,stop_loss_price,reason,stamp_tax
20251111,BUY,11.391,1500,17087.07,5.13,82907.8,1500,0.313,10.764,突破20日高点买入,
20251113,ADD_UNIT,11.501,1200,13801.79,5.0,69101.02,2700,0.322,10.857,加仓第2单位 (+0.5ATR),
20251117,ADD_UNIT,11.752,1100,12926.91,5.0,56169.1,3800,0.31,11.132,加仓第3单位 (+0.5ATR),
20251120,STOP_LOSS,11.121,3800,42258.31,12.68,98393.61,0,0.343,11.132,止损触发 (止损价 11.13),21.13
20260115,BUY,10.861,1700,18463.44,5.54,79924.62,1700,0.285,10.291,突破20日高点买入,
20260120,ADD_UNIT,10.561,1400,14784.77,5.0,65134.85,3100,0.272,10.291,加仓第2单位 (+0.5ATR),
20260121,ADD_UNIT,11.501,1000,11501.49,5.0,53628.36,4100,0.304,10.893,加仓第3单位 (+0.5ATR),
20260129,STOP_LOSS,10.883,4100,44618.65,13.39,98211.31,0,0.362,10.893,止损触发 (止损价 10.89),22.31
20260326,BUY,13.013,600,7807.8,5.0,90398.51,600,0.719,11.576,突破20日高点买入,
20260327,ADD_UNIT,13.183,600,7909.9,5.0,82483.61,1200,0.733,11.718,加仓第2单位 (+0.5ATR),
20260330,ADD_UNIT,14.224,500,7112.1,5.0,75366.51,1700,0.795,12.634,加仓第3单位 (+0.5ATR),
20260331,ADD_UNIT,15.195,400,6078.07,5.0,69283.43,2100,0.816,13.563,加仓第4单位 (+0.5ATR),
20260403,STOP_LOSS,13.55,2100,28454.2,8.54,97714.87,0,0.94,13.563,止损触发 (止损价 13.56),14.23
20260703,BUY,16.937,400,6774.77,5.0,90935.1,400,1.192,14.554,突破20日高点买入,
