date,open,high,low,close,pre_close,change,pct_chg,volume_hands,volume_shares,amount_thousand_yuan,raw_open,raw_high,raw_low,raw_close,raw_pre_close,raw_change,raw_pct_chg,adj_factor
20250704,332.55,334.99,329.77,331.0,334.56,-3.56,-1.0641,104103.55,10410355.0,3454495.463,332.55,334.99,329.77,331.0,334.56,-3.56,-1.0641,1.0
20250707,329.2,330.49,328.44,328.59,331.0,-2.41,-0.7281,88207.72,8820772.0,2901015.557,329.2,330.49,328.44,328.59,331.0,-2.41,-0.7281,1.0
20250708,327.0,329.78,325.72,326.88,328.59,-1.71,-0.5204,116918.14,11691814.0,3825413.668,327.0,329.78,325.72,326.88,328.59,-1.71,-0.5204,1.0
20250709,326.9,328.21,325.78,325.8,326.88,-1.08,-0.3304,121633.11,12163311.0,3969384.13,326.9,328.21,325.78,325.8,326.88,-1.08,-0.3304,1.0
20250710,325.81,326.09,318.85,321.23,325.8,-4.57,-1.4027,210022.06,21002206.0,6741345.468,325.81,326.09,318.85,321.23,325.8,-4.57,-1.4027,1.0
20250711,319.9,326.85,319.02,323.91,321.23,2.68,0.8343,168269.83,16826983.0,5456832.018,319.9,326.85,319.02,323.91,321.23,2.68,0.8343,1.0
20250714,323.91,323.91,317.56,318.49,323.91,-5.42,-1.6733,172309.14,17230914.0,5502331.854,323.91,323.91,317.56,318.49,323.91,-5.42,-1.6733,1.0
20250715,318.2,325.0,318.0,323.05,318.49,4.56,1.4318,162790.94,16279094.0,5252631.322,318.2,325.0,318.0,323.05,318.49,4.56,1.4318,1.0
20250716,323.06,325.91,323.06,323.72,323.05,0.67,0.2074,110758.35,11075835.0,3594544.238,323.06,325.91,323.06,323.72,323.05,0.67,0.2074,1.0
20250717,325.0,328.72,324.1,328.02,323.72,4.3,1.3283,156891.35,15689135.0,5138610.961,325.0,328.72,324.1,328.02,323.72,4.3,1.3283,1.0
20250718,329.13,329.5,325.25,329.11,328.02,1.09,0.3323,136866.49,13686649.0,4482466.755,329.13,329.5,325.25,329.11,328.02,1.09,0.3323,1.0
20250721,327.99,334.12,327.26,334.12,329.11,5.01,1.5223,153945.03,15394503.0,5102459.146,327.99,334.12,327.26,334.12,329.11,5.01,1.5223,1.0
20250722,335.0,342.01,333.21,341.69,334.12,7.57,2.2657,214164.17,21416417.0,7227731.007,335.0,342.01,333.21,341.69,334.12,7.57,2.2657,1.0
20250723,342.09,343.0,337.0,338.07,341.69,-3.62,-1.0594,158907.35,15890735.0,5395840.274,342.09,343.0,337.0,338.07,341.69,-3.62,-1.0594,1.0
20250724,338.08,346.54,337.63,342.72,338.07,4.65,1.3755,189063.27,18906327.0,6489370.096,338.08,346.54,337.63,342.72,338.07,4.65,1.3755,1.0
20250725,341.0,341.4,335.0,337.93,342.72,-4.79,-1.3976,157040.76,15704076.0,5307866.611,341.0,341.4,335.0,337.93,342.72,-4.79,-1.3976,1.0
20250728,337.93,339.1,335.53,337.0,337.93,-0.93,-0.2752,117056.7,11705670.0,3947000.994,337.93,339.1,335.53,337.0,337.93,-0.93,-0.2752,1.0
20250729,112.01,112.5,109.77,111.42,111.01,0.41,0.3693,387359.84,38735984.0,4322742.015,112.01,112.5,109.77,111.42,111.01,0.41,0.3693,1.0
20250730,108.05,111.16,107.12,108.7,111.42,-2.72,-2.4412,524834.27,52483427.0,5743878.668,108.05,111.16,107.12,108.7,111.42,-2.72,-2.4412,1.0
20250731,108.2,108.2,105.0,105.24,108.7,-3.46,-3.1831,599499.43,59949943.00000001,6344900.791,108.2,108.2,105.0,105.24,108.7,-3.46,-3.1831,1.0
20250801,104.95,106.24,104.36,105.8,105.24,0.56,0.5321,362336.92,36233692.0,3816659.558,104.95,106.24,104.36,105.8,105.24,0.56,0.5321,1.0
20250804,104.0,105.14,102.57,104.88,105.8,-0.92,-0.8696,412936.94,41293694.0,4293903.59,104.0,105.14,102.57,104.88,105.8,-0.92,-0.8696,1.0
20250805,104.88,105.21,103.78,104.86,104.88,-0.02,-0.0191,338349.86,33834986.0,3539636.64,104.88,105.21,103.78,104.86,104.88,-0.02,-0.0191,1.0
20250806,104.86,105.0,103.9,104.35,104.86,-0.51,-0.4864,305619.6,30561959.999999996,3184784.993,104.86,105.0,103.9,104.35,104.86,-0.51,-0.4864,1.0
20250807,104.27,106.43,104.16,105.33,104.35,0.98,0.9391,428762.98,42876298.0,4526612.773,104.27,106.43,104.16,105.33,104.35,0.98,0.9391,1.0
20250808,105.0,105.03,103.91,103.93,105.33,-1.4,-1.3292,326614.61,32661461.0,3405317.252,105.0,105.03,103.91,103.93,105.33,-1.4,-1.3292,1.0
20250811,103.88,105.66,103.23,105.52,103.93,1.59,1.5299,356697.9,35669790.0,3741329.572,103.88,105.66,103.23,105.52,103.93,1.59,1.5299,1.0
