date,open,high,low,close,pre_close,change,pct_chg,volume_hands,volume_shares,amount_thousand_yuan,raw_open,raw_high,raw_low,raw_close,raw_pre_close,raw_change,raw_pct_chg,adj_factor
20250704,4.29,4.33,4.28,4.31,4.29,0.02,0.4662,1076278.54,107627854.0,463839.319,4.29,4.33,4.28,4.31,4.29,0.02,0.4662,1.0
20250707,4.31,4.35,4.31,4.34,4.31,0.03,0.6961,1126849.7,112684970.0,487827.349,4.31,4.35,4.31,4.34,4.31,0.03,0.6961,1.0
20250708,4.34,4.34,4.3,4.33,4.34,-0.01,-0.2304,1084256.04,108425604.0,468337.531,4.34,4.34,4.3,4.33,4.34,-0.01,-0.2304,1.0
20250709,4.33,4.36,4.31,4.32,4.33,-0.01,-0.2309,1091101.84,109110184.00000001,472860.388,4.33,4.36,4.31,4.32,4.33,-0.01,-0.2309,1.0
20250710,4.32,4.34,4.31,4.32,4.32,0.0,0.0,1077226.57,107722657.0,466102.987,4.32,4.34,4.31,4.32,4.32,0.0,0.0,1.0
20250711,4.33,4.35,4.32,4.33,4.32,0.01,0.2315,1357336.24,135733624.0,588427.911,4.33,4.35,4.32,4.33,4.32,0.01,0.2315,1.0
20250714,4.34,4.38,4.33,4.36,4.33,0.03,0.6928,1493728.22,149372822.0,651470.4,4.34,4.38,4.33,4.36,4.33,0.03,0.6928,1.0
20250715,4.36,4.37,4.29,4.31,4.36,-0.05,-1.1468,1502974.45,150297445.0,648884.814,4.36,4.37,4.29,4.31,4.36,-0.05,-1.1468,1.0
20250716,4.32,4.33,4.29,4.3,4.31,-0.01,-0.232,914330.11,91433011.0,394128.151,4.32,4.33,4.29,4.3,4.31,-0.01,-0.232,1.0
20250717,4.3,4.31,4.28,4.29,4.3,-0.01,-0.2326,1010496.32,101049632.0,433659.778,4.3,4.31,4.28,4.29,4.3,-0.01,-0.2326,1.0
20250718,4.3,4.31,4.28,4.3,4.29,0.01,0.2331,947346.7,94734670.0,407091.675,4.3,4.31,4.28,4.3,4.29,0.01,0.2331,1.0
20250721,4.32,4.38,4.32,4.37,4.3,0.07,1.6279,2216736.57,221673656.99999997,966644.827,4.32,4.38,4.32,4.37,4.3,0.07,1.6279,1.0
20250722,4.37,4.44,4.35,4.42,4.37,0.05,1.1442,2640847.0,264084700.0,1161058.301,4.37,4.44,4.35,4.42,4.37,0.05,1.1442,1.0
20250723,4.44,4.46,4.38,4.39,4.42,-0.03,-0.6787,1847512.74,184751274.0,816609.006,4.44,4.46,4.38,4.39,4.42,-0.03,-0.6787,1.0
20250724,4.39,4.43,4.36,4.42,4.39,0.03,0.6834,1739339.5,173933950.0,765319.683,4.39,4.43,4.36,4.42,4.39,0.03,0.6834,1.0
20250725,4.43,4.44,4.37,4.38,4.42,-0.04,-0.905,1513316.0,151331600.0,666106.292,4.43,4.44,4.37,4.38,4.42,-0.04,-0.905,1.0
20250728,4.4,4.41,4.35,4.36,4.38,-0.02,-0.4566,1164554.2,116455420.0,509260.292,4.4,4.41,4.35,4.36,4.38,-0.02,-0.4566,1.0
20250729,4.36,4.37,4.34,4.36,4.36,0.0,0.0,1068345.42,106834542.0,464693.54,4.36,4.37,4.34,4.36,4.36,0.0,0.0,1.0
20250730,4.36,4.42,4.35,4.38,4.36,0.02,0.4587,1596179.87,159617987.0,700181.606,4.36,4.42,4.35,4.38,4.36,0.02,0.4587,1.0
20250731,4.38,4.39,4.31,4.33,4.38,-0.05,-1.1416,1852544.46,185254446.0,803006.254,4.38,4.39,4.31,4.33,4.38,-0.05,-1.1416,1.0
20250801,4.32,4.34,4.29,4.31,4.33,-0.02,-0.4619,980213.8,98021380.0,422785.993,4.32,4.34,4.29,4.31,4.33,-0.02,-0.4619,1.0
20250804,4.3,4.32,4.29,4.31,4.31,0.0,0.0,774701.0,77470100.0,333253.932,4.3,4.32,4.29,4.31,4.31,0.0,0.0,1.0
20250805,4.31,4.32,4.3,4.32,4.31,0.01,0.232,888314.62,88831462.0,382982.273,4.31,4.32,4.3,4.32,4.31,0.01,0.232,1.0
20250806,4.32,4.32,4.29,4.31,4.32,-0.01,-0.2315,803591.0,80359100.0,345782.879,4.32,4.32,4.29,4.31,4.32,-0.01,-0.2315,1.0
20250807,4.3,4.32,4.29,4.3,4.31,-0.01,-0.232,986778.62,98677862.0,424903.503,4.3,4.32,4.29,4.3,4.31,-0.01,-0.232,1.0
20250808,4.3,4.33,4.3,4.32,4.3,0.02,0.4651,948653.55,94865355.0,409746.262,4.3,4.33,4.3,4.32,4.3,0.02,0.4651,1.0
20250811,4.33,4.33,4.3,4.31,4.32,-0.01,-0.2315,951476.93,95147693.0,410198.953,4.33,4.33,4.3,4.31,4.32,-0.01,-0.2315,1.0
20250812,4.31,4.32,4.29,4.3,4.31,-0.01,-0.232,986452.12,98645212.0,424652.206,4.31,4.32,4.29,4.3,4.31,-0.01,-0.232,1.0
20250813,4.3,4.31,4.29,4.3,4.3,0.0,0.0,1178499.25,117849925.0,506939.605,4.3,4.31,4.29,4.3,4.3,0.0,0.0,1.0
20250814,4.31,4.32,4.28,4.28,4.3,-0.02,-0.4651,1210804.0,121080400.0,520812.192,4.31,4.32,4.28,4.28,4.3,-0.02,-0.4651,1.0
20250815,4.29,4.3,4.28,4.28,4.28,0.0,0.0,1339259.84,133925984.00000001,574678.749,4.29,4.3,4.28,4.28,4.28,0.0,0.0,1.0
20250818,4.29,4.32,4.28,4.3,4.28,0.02,0.4673,1628347.04,162834704.0,700961.404,4.29,4.32,4.28,4.3,4.28,0.02,0.4673,1.0
20250819,4.25,4.25,4.23,4.24,4.23,0.01,0.2364,1244808.02,124480802.0,527920.568,4.25,4.25,4.23,4.24,4.23,0.01,0.2364,1.0
20250820,4.23,4.25,4.22,4.24,4.24,0.0,0.0,1204113.83,120411383.0,509109.453,4.23,4.25,4.22,4.24,4.24,0.0,0.0,1.0
20250821,4.24,4.28,4.23,4.27,4.24,0.03,0.7075,1608435.7,160843570.0,685453.301,4.24,4.28,4.23,4.27,4.24,0.03,0.7075,1.0
20250822,4.27,4.29,4.25,4.28,4.27,0.01,0.2342,1286112.96,128611296.0,548385.058,4.27,4.29,4.25,4.28,4.27,0.01,0.2342,1.0
20250825,4.28,4.33,4.27,4.32,4.28,0.04,0.9346,1932413.41,193241341.0,831800.754,4.28,4.33,4.27,4.32,4.28,0.04,0.9346,1.0
20250826,4.33,4.33,4.3,4.32,4.32,0.0,0.0,1433617.98,143361798.0,618487.052,4.33,4.33,4.3,4.32,4.32,0.0,0.0,1.0
20250827,4.32,4.34,4.26,4.26,4.32,-0.06,-1.3889,1851016.26,185101626.0,795696.764,4.32,4.34,4.26,4.26,4.32,-0.06,-1.3889,1.0
