date,action,price,shares,amount,commission,cash_after,shares_after,stamp_tax
20250828,BUY,11.47146,8700,99801.702,29.9405106,168.3574893999903,8700,
20250905,SELL,10.469520000000001,8700,91084.82400000001,27.3254472,91180.3136302,0,45.542412000000006
20251015,BUY,10.56055,8600,90820.73,27.246218999999996,332.3374112000165,8600,
20251031,SELL,10.379610000000001,8600,89264.64600000001,26.7793938,89525.57169440003,0,44.63232300000001
20251107,BUY,10.97096,8100,88864.776,26.659432799999998,634.136261600026,8100,
20251125,SELL,10.789200000000001,8100,87392.52,26.217755999999998,87956.74224560003,0,43.69626
20260105,BUY,10.180169999999999,8600,87549.46199999998,26.264838599999994,381.01540700005717,8600,
20260204,SELL,10.91907,8600,93904.002,28.171200599999995,94209.89420540005,0,46.952000999999996
20260224,BUY,11.201189999999999,8400,94089.99599999998,28.226998799999993,91.67120660006185,8400,
20260306,SELL,10.889100000000001,8400,91468.44,27.440531999999997,91486.93645460007,0,45.73422
20260310,BUY,12.432419999999999,7300,90756.666,27.226999799999998,703.0434548000776,7300,
20260324,SELL,10.93905,7300,79855.065,23.9565195,80494.22440280007,0,39.927532500000005
20260330,BUY,14.22421,5600,79655.576,23.896672799999997,814.7517300000763,5600,
20260518,SELL,16.243740000000003,5600,90964.94400000002,27.289483200000003,91706.92377480009,0,45.48247200000001
20260615,BUY,16.906889999999997,5400,91297.20599999999,27.389161799999997,382.32861300009245,5400,
20260624,SELL,14.275709999999998,5400,77088.83399999999,23.126650199999993,77409.49154580008,0,38.544416999999996
20260703,BUY,16.93692,4500,76216.14,22.864842,1170.4867038000812,4500,
